date,site,province,district,predicted_total_visitors,statistical_capacity,vli_score
2029-10-17,Galle Fort,Southern,Galle,0,897,0.0
2029-10-17,Horton Plains (World's End),Central,Nuwara Eliya,77,270,28.52
2029-10-17,Jaffna Fort,Northern,Jaffna,1769,867,204.04
2029-10-17,Kaudulla National Park,North_Central,Polonnaruwa,473,622,76.05
2029-10-17,Knuckles Conservation Forest,Central,Matale,1727,846,204.14
2029-10-17,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-17,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,505,434,116.36
2029-10-17,Sigiriya Rock & Museum,Central,Matale,2672,2161,123.65
2029-10-17,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,336,192,175.0
2029-10-17,Temple of the Tooth (Kandy),Central,Kandy,2189,1398,156.58
2029-10-17,Udawalawe National Park,Uva,Monaragala,1691,854,198.01
2029-10-17,Wilpattu National Park,North_Western,Puttalam,1550,750,206.67
2029-10-17,Yala National Park,Southern,Hambantota,15,2133,0.7
2029-10-18,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-18,Dambulla Cave Temple,Central,Matale,683,586,116.55
2029-10-18,Galle Fort,Southern,Galle,0,897,0.0
2029-10-18,Horton Plains (World's End),Central,Nuwara Eliya,76,270,28.15
2029-10-18,Jaffna Fort,Northern,Jaffna,1770,867,204.15
2029-10-18,Kaudulla National Park,North_Central,Polonnaruwa,479,622,77.01
2029-10-18,Knuckles Conservation Forest,Central,Matale,1728,846,204.26
2029-10-18,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-18,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,495,434,114.06
2029-10-18,Sigiriya Rock & Museum,Central,Matale,2621,2161,121.29
2029-10-18,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,336,192,175.0
2029-10-18,Temple of the Tooth (Kandy),Central,Kandy,2162,1398,154.65
2029-10-18,Udawalawe National Park,Uva,Monaragala,1691,854,198.01
2029-10-18,Wilpattu National Park,North_Western,Puttalam,1551,750,206.8
2029-10-18,Yala National Park,Southern,Hambantota,13,2133,0.61
2029-10-19,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-19,Dambulla Cave Temple,Central,Matale,668,586,113.99
2029-10-19,Galle Fort,Southern,Galle,0,897,0.0
2029-10-19,Horton Plains (World's End),Central,Nuwara Eliya,76,270,28.15
2029-10-19,Jaffna Fort,Northern,Jaffna,1770,867,204.15
2029-10-19,Kaudulla National Park,North_Central,Polonnaruwa,485,622,77.97
2029-10-19,Knuckles Conservation Forest,Central,Matale,1729,846,204.37
2029-10-19,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-19,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,484,434,111.52
2029-10-19,Sigiriya Rock & Museum,Central,Matale,2568,2161,118.83
2029-10-19,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,336,192,175.0
2029-10-19,Temple of the Tooth (Kandy),Central,Kandy,2134,1398,152.65
2029-10-19,Udawalawe National Park,Uva,Monaragala,1692,854,198.13
2029-10-19,Wilpattu National Park,North_Western,Puttalam,1551,750,206.8
2029-10-19,Yala National Park,Southern,Hambantota,11,2133,0.52
2029-10-20,Adam's Peak (Sri Pada),Central,Nuwara Eliya,4,341,1.17
2029-10-20,Dambulla Cave Temple,Central,Matale,703,586,119.97
2029-10-20,Galle Fort,Southern,Galle,19,897,2.12
2029-10-20,Horton Plains (World's End),Central,Nuwara Eliya,146,270,54.07
2029-10-20,Jaffna Fort,Northern,Jaffna,1842,867,212.46
2029-10-20,Kaudulla National Park,North_Central,Polonnaruwa,561,622,90.19
2029-10-20,Knuckles Conservation Forest,Central,Matale,1800,846,212.77
2029-10-20,Mirissa (Whale Watching),Southern,Matara,19,208,9.13
2029-10-20,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,523,434,120.51
2029-10-20,Sigiriya Rock & Museum,Central,Matale,2564,2161,118.65
2029-10-20,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,406,192,211.46
2029-10-20,Temple of the Tooth (Kandy),Central,Kandy,2162,1398,154.65
2029-10-20,Udawalawe National Park,Uva,Monaragala,1764,854,206.56
2029-10-20,Wilpattu National Park,North_Western,Puttalam,1622,750,216.27
2029-10-20,Yala National Park,Southern,Hambantota,65,2133,3.05
2029-10-21,Adam's Peak (Sri Pada),Central,Nuwara Eliya,4,341,1.17
2029-10-21,Dambulla Cave Temple,Central,Matale,689,586,117.58
2029-10-21,Galle Fort,Southern,Galle,19,897,2.12
2029-10-21,Horton Plains (World's End),Central,Nuwara Eliya,147,270,54.44
2029-10-21,Jaffna Fort,Northern,Jaffna,1844,867,212.69
2029-10-21,Kaudulla National Park,North_Central,Polonnaruwa,566,622,91.0
2029-10-21,Knuckles Conservation Forest,Central,Matale,1802,846,213.0
2029-10-21,Mirissa (Whale Watching),Southern,Matara,19,208,9.13
2029-10-21,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,512,434,117.97
2029-10-21,Sigiriya Rock & Museum,Central,Matale,2511,2161,116.2
2029-10-21,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,407,192,211.98
2029-10-21,Temple of the Tooth (Kandy),Central,Kandy,2135,1398,152.72
2029-10-21,Udawalawe National Park,Uva,Monaragala,1767,854,206.91
2029-10-21,Wilpattu National Park,North_Western,Puttalam,1624,750,216.53
2029-10-21,Yala National Park,Southern,Hambantota,64,2133,3.0
2029-10-22,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-22,Dambulla Cave Temple,Central,Matale,635,586,108.36
2029-10-22,Galle Fort,Southern,Galle,0,897,0.0
2029-10-22,Horton Plains (World's End),Central,Nuwara Eliya,79,270,29.26
2029-10-22,Jaffna Fort,Northern,Jaffna,1788,867,206.23
2029-10-22,Kaudulla National Park,North_Central,Polonnaruwa,509,622,81.83
2029-10-22,Knuckles Conservation Forest,Central,Matale,1746,846,206.38
2029-10-22,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-22,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,460,434,105.99
2029-10-22,Sigiriya Rock & Museum,Central,Matale,2444,2161,113.1
2029-10-22,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,343,192,178.65
2029-10-22,Temple of the Tooth (Kandy),Central,Kandy,2083,1398,149.0
2029-10-22,Udawalawe National Park,Uva,Monaragala,1713,854,200.59
2029-10-22,Wilpattu National Park,North_Western,Puttalam,1566,750,208.8
2029-10-22,Yala National Park,Southern,Hambantota,8,2133,0.38
2029-10-23,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-23,Dambulla Cave Temple,Central,Matale,603,586,102.9
2029-10-23,Galle Fort,Southern,Galle,0,897,0.0
2029-10-23,Horton Plains (World's End),Central,Nuwara Eliya,75,270,27.78
2029-10-23,Jaffna Fort,Northern,Jaffna,1766,867,203.69
2029-10-23,Kaudulla National Park,North_Central,Polonnaruwa,494,622,79.42
2029-10-23,Knuckles Conservation Forest,Central,Matale,1724,846,203.78
2029-10-23,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-23,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,436,434,100.46
2029-10-23,Sigiriya Rock & Museum,Central,Matale,2322,2161,107.45
2029-10-23,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,333,192,173.44
2029-10-23,Temple of the Tooth (Kandy),Central,Kandy,1994,1398,142.63
2029-10-23,Udawalawe National Park,Uva,Monaragala,1687,854,197.54
2029-10-23,Wilpattu National Park,North_Western,Puttalam,1547,750,206.27
2029-10-23,Yala National Park,Southern,Hambantota,6,2133,0.28
2029-10-24,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-24,Dambulla Cave Temple,Central,Matale,586,586,100.0
2029-10-24,Galle Fort,Southern,Galle,0,897,0.0
2029-10-24,Horton Plains (World's End),Central,Nuwara Eliya,72,270,26.67
2029-10-24,Jaffna Fort,Northern,Jaffna,1765,867,203.58
2029-10-24,Kaudulla National Park,North_Central,Polonnaruwa,492,622,79.1
2029-10-24,Knuckles Conservation Forest,Central,Matale,1723,846,203.66
2029-10-24,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-24,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,423,434,97.47
2029-10-24,Sigiriya Rock & Museum,Central,Matale,2263,2161,104.72
2029-10-24,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,331,192,172.4
2029-10-24,Temple of the Tooth (Kandy),Central,Kandy,1961,1398,140.27
2029-10-24,Udawalawe National Park,Uva,Monaragala,1686,854,197.42
2029-10-24,Wilpattu National Park,North_Western,Puttalam,1546,750,206.13
2029-10-24,Yala National Park,Southern,Hambantota,5,2133,0.23
2029-10-25,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-25,Dambulla Cave Temple,Central,Matale,570,586,97.27
2029-10-25,Galle Fort,Southern,Galle,0,897,0.0
2029-10-25,Horton Plains (World's End),Central,Nuwara Eliya,72,270,26.67
2029-10-25,Jaffna Fort,Northern,Jaffna,1765,867,203.58
2029-10-25,Kaudulla National Park,North_Central,Polonnaruwa,493,622,79.26
2029-10-25,Knuckles Conservation Forest,Central,Matale,1723,846,203.66
2029-10-25,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-25,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,411,434,94.7
2029-10-25,Sigiriya Rock & Museum,Central,Matale,2203,2161,101.94
2029-10-25,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,331,192,172.4
2029-10-25,Temple of the Tooth (Kandy),Central,Kandy,1927,1398,137.84
2029-10-25,Udawalawe National Park,Uva,Monaragala,1686,854,197.42
2029-10-25,Wilpattu National Park,North_Western,Puttalam,1546,750,206.13
2029-10-25,Yala National Park,Southern,Hambantota,4,2133,0.19
2029-10-26,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-26,Dambulla Cave Temple,Central,Matale,553,586,94.37
2029-10-26,Galle Fort,Southern,Galle,0,897,0.0
2029-10-26,Horton Plains (World's End),Central,Nuwara Eliya,71,270,26.3
2029-10-26,Jaffna Fort,Northern,Jaffna,1765,867,203.58
2029-10-26,Kaudulla National Park,North_Central,Polonnaruwa,492,622,79.1
2029-10-26,Knuckles Conservation Forest,Central,Matale,1723,846,203.66
2029-10-26,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-26,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,399,434,91.94
2029-10-26,Sigiriya Rock & Museum,Central,Matale,2141,2161,99.07
2029-10-26,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,330,192,171.88
2029-10-26,Temple of the Tooth (Kandy),Central,Kandy,1893,1398,135.41
2029-10-26,Udawalawe National Park,Uva,Monaragala,1686,854,197.42
2029-10-26,Wilpattu National Park,North_Western,Puttalam,1546,750,206.13
2029-10-26,Yala National Park,Southern,Hambantota,3,2133,0.14
2029-10-27,Adam's Peak (Sri Pada),Central,Nuwara Eliya,4,341,1.17
2029-10-27,Dambulla Cave Temple,Central,Matale,585,586,99.83
2029-10-27,Galle Fort,Southern,Galle,19,897,2.12
2029-10-27,Horton Plains (World's End),Central,Nuwara Eliya,141,270,52.22
2029-10-27,Jaffna Fort,Northern,Jaffna,1836,867,211.76
2029-10-27,Kaudulla National Park,North_Central,Polonnaruwa,561,622,90.19
2029-10-27,Knuckles Conservation Forest,Central,Matale,1794,846,212.06
2029-10-27,Mirissa (Whale Watching),Southern,Matara,19,208,9.13
2029-10-27,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,436,434,100.46
2029-10-27,Sigiriya Rock & Museum,Central,Matale,2127,2161,98.43
2029-10-27,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,401,192,208.85
2029-10-27,Temple of the Tooth (Kandy),Central,Kandy,1914,1398,136.91
2029-10-27,Udawalawe National Park,Uva,Monaragala,1757,854,205.74
2029-10-27,Wilpattu National Park,North_Western,Puttalam,1617,750,215.6
2029-10-27,Yala National Park,Southern,Hambantota,58,2133,2.72
2029-10-28,Adam's Peak (Sri Pada),Central,Nuwara Eliya,4,341,1.17
2029-10-28,Dambulla Cave Temple,Central,Matale,569,586,97.1
2029-10-28,Galle Fort,Southern,Galle,19,897,2.12
2029-10-28,Horton Plains (World's End),Central,Nuwara Eliya,142,270,52.59
2029-10-28,Jaffna Fort,Northern,Jaffna,1837,867,211.88
2029-10-28,Kaudulla National Park,North_Central,Polonnaruwa,559,622,89.87
2029-10-28,Knuckles Conservation Forest,Central,Matale,1795,846,212.17
2029-10-28,Mirissa (Whale Watching),Southern,Matara,19,208,9.13
2029-10-28,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,423,434,97.47
2029-10-28,Sigiriya Rock & Museum,Central,Matale,2063,2161,95.47
2029-10-28,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,402,192,209.38
2029-10-28,Temple of the Tooth (Kandy),Central,Kandy,1879,1398,134.41
2029-10-28,Udawalawe National Park,Uva,Monaragala,1759,854,205.97
2029-10-28,Wilpattu National Park,North_Western,Puttalam,1618,750,215.73
2029-10-28,Yala National Park,Southern,Hambantota,58,2133,2.72
2029-10-29,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-29,Dambulla Cave Temple,Central,Matale,503,586,85.84
2029-10-29,Galle Fort,Southern,Galle,0,897,0.0
2029-10-29,Horton Plains (World's End),Central,Nuwara Eliya,72,270,26.67
2029-10-29,Jaffna Fort,Northern,Jaffna,1769,867,204.04
2029-10-29,Kaudulla National Park,North_Central,Polonnaruwa,486,622,78.14
2029-10-29,Knuckles Conservation Forest,Central,Matale,1727,846,204.14
2029-10-29,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-29,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,362,434,83.41
2029-10-29,Sigiriya Rock & Museum,Central,Matale,1950,2161,90.24
2029-10-29,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,332,192,172.92
2029-10-29,Temple of the Tooth (Kandy),Central,Kandy,1788,1398,127.9
2029-10-29,Udawalawe National Park,Uva,Monaragala,1690,854,197.89
2029-10-29,Wilpattu National Park,North_Western,Puttalam,1549,750,206.53
2029-10-29,Yala National Park,Southern,Hambantota,3,2133,0.14
2029-10-30,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-30,Dambulla Cave Temple,Central,Matale,484,586,82.59
2029-10-30,Galle Fort,Southern,Galle,0,897,0.0
2029-10-30,Horton Plains (World's End),Central,Nuwara Eliya,71,270,26.3
2029-10-30,Jaffna Fort,Northern,Jaffna,1767,867,203.81
2029-10-30,Kaudulla National Park,North_Central,Polonnaruwa,476,622,76.53
2029-10-30,Knuckles Conservation Forest,Central,Matale,1725,846,203.9
2029-10-30,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-30,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,348,434,80.18
2029-10-30,Sigiriya Rock & Museum,Central,Matale,1880,2161,87.0
2029-10-30,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,330,192,171.88
2029-10-30,Temple of the Tooth (Kandy),Central,Kandy,1747,1398,124.96
2029-10-30,Udawalawe National Park,Uva,Monaragala,1688,854,197.66
2029-10-30,Wilpattu National Park,North_Western,Puttalam,1547,750,206.27
2029-10-30,Yala National Park,Southern,Hambantota,3,2133,0.14
2029-10-31,Adam's Peak (Sri Pada),Central,Nuwara Eliya,0,341,0.0
2029-10-31,Dambulla Cave Temple,Central,Matale,465,586,79.35
2029-10-31,Galle Fort,Southern,Galle,0,897,0.0
2029-10-31,Horton Plains (World's End),Central,Nuwara Eliya,68,270,25.19
2029-10-31,Jaffna Fort,Northern,Jaffna,1765,867,203.58
2029-10-31,Kaudulla National Park,North_Central,Polonnaruwa,465,622,74.76
2029-10-31,Knuckles Conservation Forest,Central,Matale,1723,846,203.66
2029-10-31,Mirissa (Whale Watching),Southern,Matara,0,208,0.0
2029-10-31,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,334,434,76.96
2029-10-31,Sigiriya Rock & Museum,Central,Matale,1813,2161,83.9
2029-10-31,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,328,192,170.83
2029-10-31,Temple of the Tooth (Kandy),Central,Kandy,1709,1398,122.25
2029-10-31,Udawalawe National Park,Uva,Monaragala,1687,854,197.54
2029-10-31,Wilpattu National Park,North_Western,Puttalam,1545,750,206.0
2029-10-31,Yala National Park,Southern,Hambantota,2,2133,0.09
2029-11-01,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-01,Dambulla Cave Temple,Central,Matale,478,586,81.57
2029-11-01,Galle Fort,Southern,Galle,12,897,1.34
2029-11-01,Horton Plains (World's End),Central,Nuwara Eliya,102,270,37.78
2029-11-01,Jaffna Fort,Northern,Jaffna,1800,867,207.61
2029-11-01,Kaudulla National Park,North_Central,Polonnaruwa,500,622,80.39
2029-11-01,Knuckles Conservation Forest,Central,Matale,1758,846,207.8
2029-11-01,Mirissa (Whale Watching),Southern,Matara,12,208,5.77
2029-11-01,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,350,434,80.65
2029-11-01,Sigiriya Rock & Museum,Central,Matale,1794,2161,83.02
2029-11-01,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,362,192,188.54
2029-11-01,Temple of the Tooth (Kandy),Central,Kandy,1710,1398,122.32
2029-11-01,Udawalawe National Park,Uva,Monaragala,1721,854,201.52
2029-11-01,Wilpattu National Park,North_Western,Puttalam,1579,750,210.53
2029-11-01,Yala National Park,Southern,Hambantota,35,2133,1.64
2029-11-02,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-02,Dambulla Cave Temple,Central,Matale,467,586,79.69
2029-11-02,Galle Fort,Southern,Galle,13,897,1.45
2029-11-02,Horton Plains (World's End),Central,Nuwara Eliya,103,270,38.15
2029-11-02,Jaffna Fort,Northern,Jaffna,1802,867,207.84
2029-11-02,Kaudulla National Park,North_Central,Polonnaruwa,502,622,80.71
2029-11-02,Knuckles Conservation Forest,Central,Matale,1760,846,208.04
2029-11-02,Mirissa (Whale Watching),Southern,Matara,12,208,5.77
2029-11-02,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,342,434,78.8
2029-11-02,Sigiriya Rock & Museum,Central,Matale,1753,2161,81.12
2029-11-02,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,363,192,189.06
2029-11-02,Temple of the Tooth (Kandy),Central,Kandy,1685,1398,120.53
2029-11-02,Udawalawe National Park,Uva,Monaragala,1723,854,201.76
2029-11-02,Wilpattu National Park,North_Western,Puttalam,1581,750,210.8
2029-11-02,Yala National Park,Southern,Hambantota,36,2133,1.69
2029-11-03,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2029-11-03,Dambulla Cave Temple,Central,Matale,506,586,86.35
2029-11-03,Galle Fort,Southern,Galle,82,897,9.14
2029-11-03,Horton Plains (World's End),Central,Nuwara Eliya,175,270,64.81
2029-11-03,Jaffna Fort,Northern,Jaffna,1875,867,216.26
2029-11-03,Kaudulla National Park,North_Central,Polonnaruwa,575,622,92.44
2029-11-03,Knuckles Conservation Forest,Central,Matale,1833,846,216.67
2029-11-03,Mirissa (Whale Watching),Southern,Matara,82,208,39.42
2029-11-03,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,384,434,88.48
2029-11-03,Sigiriya Rock & Museum,Central,Matale,1761,2161,81.49
2029-11-03,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,436,192,227.08
2029-11-03,Temple of the Tooth (Kandy),Central,Kandy,1717,1398,122.82
2029-11-03,Udawalawe National Park,Uva,Monaragala,1796,854,210.3
2029-11-03,Wilpattu National Park,North_Western,Puttalam,1654,750,220.53
2029-11-03,Yala National Park,Southern,Hambantota,107,2133,5.02
2029-11-04,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2029-11-04,Dambulla Cave Temple,Central,Matale,497,586,84.81
2029-11-04,Galle Fort,Southern,Galle,86,897,9.59
2029-11-04,Horton Plains (World's End),Central,Nuwara Eliya,178,270,65.93
2029-11-04,Jaffna Fort,Northern,Jaffna,1879,867,216.72
2029-11-04,Kaudulla National Park,North_Central,Polonnaruwa,578,622,92.93
2029-11-04,Knuckles Conservation Forest,Central,Matale,1837,846,217.14
2029-11-04,Mirissa (Whale Watching),Southern,Matara,85,208,40.87
2029-11-04,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,377,434,86.87
2029-11-04,Sigiriya Rock & Museum,Central,Matale,1723,2161,79.73
2029-11-04,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,439,192,228.65
2029-11-04,Temple of the Tooth (Kandy),Central,Kandy,1694,1398,121.17
2029-11-04,Udawalawe National Park,Uva,Monaragala,1800,854,210.77
2029-11-04,Wilpattu National Park,North_Western,Puttalam,1658,750,221.07
2029-11-04,Yala National Park,Southern,Hambantota,110,2133,5.16
2029-11-05,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-05,Dambulla Cave Temple,Central,Matale,439,586,74.91
2029-11-05,Galle Fort,Southern,Galle,21,897,2.34
2029-11-05,Horton Plains (World's End),Central,Nuwara Eliya,111,270,41.11
2029-11-05,Jaffna Fort,Northern,Jaffna,1812,867,209.0
2029-11-05,Kaudulla National Park,North_Central,Polonnaruwa,511,622,82.15
2029-11-05,Knuckles Conservation Forest,Central,Matale,1770,846,209.22
2029-11-05,Mirissa (Whale Watching),Southern,Matara,21,208,10.1
2029-11-05,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,322,434,74.19
2029-11-05,Sigiriya Rock & Museum,Central,Matale,1636,2161,75.71
2029-11-05,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,372,192,193.75
2029-11-05,Temple of the Tooth (Kandy),Central,Kandy,1615,1398,115.52
2029-11-05,Udawalawe National Park,Uva,Monaragala,1734,854,203.04
2029-11-05,Wilpattu National Park,North_Western,Puttalam,1591,750,212.13
2029-11-05,Yala National Park,Southern,Hambantota,43,2133,2.02
2029-11-06,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-06,Dambulla Cave Temple,Central,Matale,429,586,73.21
2029-11-06,Galle Fort,Southern,Galle,22,897,2.45
2029-11-06,Horton Plains (World's End),Central,Nuwara Eliya,112,270,41.48
2029-11-06,Jaffna Fort,Northern,Jaffna,1814,867,209.23
2029-11-06,Kaudulla National Park,North_Central,Polonnaruwa,512,622,82.32
2029-11-06,Knuckles Conservation Forest,Central,Matale,1772,846,209.46
2029-11-06,Mirissa (Whale Watching),Southern,Matara,22,208,10.58
2029-11-06,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,315,434,72.58
2029-11-06,Sigiriya Rock & Museum,Central,Matale,1598,2161,73.95
2029-11-06,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,373,192,194.27
2029-11-06,Temple of the Tooth (Kandy),Central,Kandy,1592,1398,113.88
2029-11-06,Udawalawe National Park,Uva,Monaragala,1736,854,203.28
2029-11-06,Wilpattu National Park,North_Western,Puttalam,1593,750,212.4
2029-11-06,Yala National Park,Southern,Hambantota,44,2133,2.06
2029-11-07,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-07,Dambulla Cave Temple,Central,Matale,419,586,71.5
2029-11-07,Galle Fort,Southern,Galle,23,897,2.56
2029-11-07,Horton Plains (World's End),Central,Nuwara Eliya,112,270,41.48
2029-11-07,Jaffna Fort,Northern,Jaffna,1815,867,209.34
2029-11-07,Kaudulla National Park,North_Central,Polonnaruwa,513,622,82.48
2029-11-07,Knuckles Conservation Forest,Central,Matale,1773,846,209.57
2029-11-07,Mirissa (Whale Watching),Southern,Matara,23,208,11.06
2029-11-07,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,308,434,70.97
2029-11-07,Sigiriya Rock & Museum,Central,Matale,1562,2161,72.28
2029-11-07,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,373,192,194.27
2029-11-07,Temple of the Tooth (Kandy),Central,Kandy,1569,1398,112.23
2029-11-07,Udawalawe National Park,Uva,Monaragala,1737,854,203.4
2029-11-07,Wilpattu National Park,North_Western,Puttalam,1594,750,212.53
2029-11-07,Yala National Park,Southern,Hambantota,44,2133,2.06
2029-11-08,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-08,Dambulla Cave Temple,Central,Matale,412,586,70.31
2029-11-08,Galle Fort,Southern,Galle,25,897,2.79
2029-11-08,Horton Plains (World's End),Central,Nuwara Eliya,116,270,42.96
2029-11-08,Jaffna Fort,Northern,Jaffna,1820,867,209.92
2029-11-08,Kaudulla National Park,North_Central,Polonnaruwa,519,622,83.44
2029-11-08,Knuckles Conservation Forest,Central,Matale,1778,846,210.17
2029-11-08,Mirissa (Whale Watching),Southern,Matara,25,208,12.02
2029-11-08,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,303,434,69.82
2029-11-08,Sigiriya Rock & Museum,Central,Matale,1530,2161,70.8
2029-11-08,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,377,192,196.35
2029-11-08,Temple of the Tooth (Kandy),Central,Kandy,1549,1398,110.8
2029-11-08,Udawalawe National Park,Uva,Monaragala,1742,854,203.98
2029-11-08,Wilpattu National Park,North_Western,Puttalam,1598,750,213.07
2029-11-08,Yala National Park,Southern,Hambantota,47,2133,2.2
2029-11-09,Adam's Peak (Sri Pada),Central,Nuwara Eliya,1,341,0.29
2029-11-09,Dambulla Cave Temple,Central,Matale,404,586,68.94
2029-11-09,Galle Fort,Southern,Galle,26,897,2.9
2029-11-09,Horton Plains (World's End),Central,Nuwara Eliya,117,270,43.33
2029-11-09,Jaffna Fort,Northern,Jaffna,1822,867,210.15
2029-11-09,Kaudulla National Park,North_Central,Polonnaruwa,522,622,83.92
2029-11-09,Knuckles Conservation Forest,Central,Matale,1780,846,210.4
2029-11-09,Mirissa (Whale Watching),Southern,Matara,26,208,12.5
2029-11-09,Polonnaruwa (Gal Viharaya & Ruins),North_Central,Polonnaruwa,297,434,68.43
2029-11-09,Sigiriya Rock & Museum,Central,Matale,1497,2161,69.27
2029-11-09,Sinharaja Conservation Forest,Sabaragamuwa,Ratnapura,379,192,197.4
2029-11-09,Temple of the Tooth (Kandy),Central,Kandy,1528,1398,109.3
2029-11-09,Udawalawe National Park,Uva,Monaragala,1744,854,204.22
2029-11-09,Wilpattu National Park,North_Western,Puttalam,1600,750,213.33
2029-11-09,Yala National Park,Southern,Hambantota,48,2133,2.25
2029-11-10,Adam's Peak (Sri Pada),Central,Nuwara Eliya,8,341,2.35
2029-11-10,Dambulla Cave Temple,Central,Matale,445,586,75.94
2029-11-10,Galle Fort,Southern,Galle,98,897,10.93
2029-11-10,Horton Plains (World's End),Central,Nuwara Eliya,190,270,70.37
2029-11-10,Jaffna Fort,Northern,Jaffna,1895,867,218.57
2029-11-10,Kaudulla National Park,North_Central,Polonnaruwa,596,622,95.82
2029-11-10,Knuckles Conservation Forest,Central,Matale,1853,846,219.03
